
---------- Begin Simulation Statistics ----------
simSeconds                                   0.107238                       # Number of seconds simulated (Second)
simTicks                                 107237725000                       # Number of ticks simulated (Tick)
finalTick                                107237725000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    165.15                       # Real time elapsed on the host (Second)
hostTickRate                                649348898                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674488                       # Number of bytes of host memory used (Byte)
simInsts                                     97337533                       # Number of instructions simulated (Count)
simOps                                       97337579                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   589401                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     589401                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        107237727                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.101710                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.907680                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        99068953                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   139018                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       97846115                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    138                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1870391                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1912407                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 614                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           107202355                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.912724                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.012052                       # Number of insts issued each cycle (Count)
system.mem_ctrl.requestorWriteAccesses::writebacks         4498                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrl.requestorReadTotalLat::cpu.inst     19186500                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrl.requestorReadTotalLat::cpu.data  11357336500                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrl.requestorWriteTotalLat::writebacks   2880733500                       # Per-requestor write total memory access latency (Tick)
system.mem_ctrl.requestorReadAvgLat::cpu.inst     28765.37                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrl.requestorReadAvgLat::cpu.data     41131.89                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrl.requestorWriteAvgLat::writebacks    640447.64                       # Per-requestor write average memory access latency ((Tick/Count))
system.mem_ctrl.dram.bytesRead::cpu.inst        42688                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesRead::cpu.data     17671680                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesRead::total        17714368                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesInstRead::cpu.inst        42688                       # Number of instructions bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesInstRead::total        42688                       # Number of instructions bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesWritten::writebacks       287872                       # Number of bytes written to this memory (Byte)
system.mem_ctrl.dram.bytesWritten::total       287872                       # Number of bytes written to this memory (Byte)
system.mem_ctrl.dram.numReads::cpu.inst           667                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numReads::cpu.data        276120                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numReads::total           276787                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numWrites::writebacks         4498                       # Number of write requests responded to by this memory (Count)
system.mem_ctrl.dram.numWrites::total            4498                       # Number of write requests responded to by this memory (Count)
system.mem_ctrl.dram.bwRead::cpu.inst          398069                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwRead::cpu.data       164789770                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwRead::total          165187839                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwInstRead::cpu.inst       398069                       # Instruction read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwInstRead::total         398069                       # Instruction read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwWrite::writebacks      2684428                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwWrite::total           2684428                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::writebacks      2684428                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::cpu.inst         398069                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::cpu.data      164789770                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::total         167872267                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.readBursts                269993                       # Number of DRAM read bursts (Count)
system.mem_ctrl.dram.writeBursts                  272                       # Number of DRAM write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::0         13208                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::1         13155                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::2         28517                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::3         13088                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::4         13088                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::5         13295                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::6         24637                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::7         13220                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::8         13261                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::9         13244                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::10        29533                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::11        13253                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::12        13143                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::13        13166                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::14        29091                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::15        13094                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::0            16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::1            16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::2            13                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::3            16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::4            16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::5            16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::6            16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::7            17                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::8            16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::9            19                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::10           20                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::11           18                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::12           16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::13           16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::14           25                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::15           16                       # Per bank write bursts (Count)
system.mem_ctrl.dram.totQLat               6314154250                       # Total ticks spent queuing (Tick)
system.mem_ctrl.dram.totBusLat             1349965000                       # Total ticks spent in databus transfers (Tick)
system.mem_ctrl.dram.totMemAccLat         11376523000                       # Total ticks spent from burst creation until serviced by the DRAM (Tick)
system.mem_ctrl.dram.avgQLat                 23386.36                       # Average queueing delay per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.avgBusLat                5000.00                       # Average bus latency per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.avgMemAccLat            42136.36                       # Average memory access latency per DRAM burst ((Tick/Count))
system.mem_ctrl.dram.readRowHits                44222                       # Number of row buffer hits during reads (Count)
